2016-04-01 12:29:47 status unpacked libdns100:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:47 status unpacked libdns100:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:47 upgrade bind9utils:amd64 1:9.9.5.dfsg-3ubuntu0.7 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:47 status half-configured bind9utils:amd64 1:9.9.5.dfsg-3ubuntu0.7
2016-04-01 12:29:48 status unpacked bind9utils:amd64 1:9.9.5.dfsg-3ubuntu0.7
2016-04-01 12:29:48 status half-installed bind9utils:amd64 1:9.9.5.dfsg-3ubuntu0.7
2016-04-01 12:29:48 status half-installed bind9utils:amd64 1:9.9.5.dfsg-3ubuntu0.7
2016-04-01 12:29:48 status unpacked bind9utils:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:48 status unpacked bind9utils:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:48 upgrade libbind9-90:amd64 1:9.9.5.dfsg-3ubuntu0.7 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:48 status half-configured libbind9-90:amd64 1:9.9.5.dfsg-3ubuntu0.7
2016-04-01 12:29:48 status unpacked libbind9-90:amd64 1:9.9.5.dfsg-3ubuntu0.7
2016-04-01 12:29:48 status half-installed libbind9-90:amd64 1:9.9.5.dfsg-3ubuntu0.7
2016-04-01 12:29:48 status half-installed libbind9-90:amd64 1:9.9.5.dfsg-3ubuntu0.7
2016-04-01 12:29:48 status unpacked libbind9-90:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:48 status unpacked libbind9-90:amd64 1:9.9.5.dfsg-3ubuntu0.8
2016-04-01 12:29:48 trigproc ureadahead:amd64 0.100.0-16 0.100.0-16
2016-04-01 12:29:48 status half-configured ureadahead:amd64 0.100.0-16
2016-04-01 12:29:48 status installed ureadahead:amd64 0.100.0-16
2016-04-01 12:29:48 trigproc ufw:all 0.34~rc-0ubuntu2 0.34~rc-0ubuntu2
2016-04-01 12:29:48 status half-configured ufw:all 0.34~rc-0ubuntu2
2016-04-01 12:29:49 status installed ufw:all 0.34~rc-0ubuntu2
2016-04-01 12:29:49 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
